ID,CODE_ETAT,ETAT,CODE_CITY,NOM,NOM_FR,LATITUDE,LONGITUDE,POP1950,POP1955,POP1960,POP1965,POP1970,POP1975,POP1980,POP1985,POP1990,POP1995,POP2000,POP2005,POP2010,POP2015,POP2020,POP2025,POP2030,POP2035,ET2018,ETETR2018,NUNIV2018,ARWU2018,NHCR2018,TINT2016,PMUNESCO,EVP2016,TON2016,PASS2017,HUBINT18,STPOL,COOPREG,GVMOND,PIB2014,PIBHAB14,KBOURS18,GF2016,GF2017,GF2018,GaWC2000,GaWC2012,GaWC2016,GaWC2018
"1221","528",Netherlands,"21930",Amsterdam,AMSTERDAM,52.374029999999998,4.889690000000000,850.777000000000044,871.172000000000025,895.229000000000042,942.075000000000045,927.414999999999964,978.461000000000013,940.602999999999952,906.936000000000035,935.538000000000011,987.822999999999979,1004.643000000000029,1024.730999999999995,1064.616999999999962,1106.056000000000040,1148.971999999999980,1189.204999999999927,1218.917999999999893,1236.929000000000087,"23778","2853","1","0","26",8.359999999999999,"2",,96035.000000000000000,"68515425",OUI,Capitale,,,"320600",45265.000000000000000,3730398.299999999813735,"5","5","7",3. ALPHA,3. ALPHA,3. ALPHA,4. ALPHA -
"1678","840",United States of America,"22922",Atlanta,ATLANTA,33.759999999999998,-84.400000000000006,513.150999999999954,631.043999999999983,776.250999999999976,959.153000000000020,1182.138999999999896,1386.472999999999956,1625.066000000000031,1879.348999999999933,2183.976000000000113,2781.275999999999840,3522.085000000000036,4000.561999999999898,4544.198000000000320,5161.710000000000036,5803.064999999999600,6271.682999999999993,6602.212999999999738,6889.310000000000400,"34550","8443","2","1","0",,"0",,,"103902992",NON,Capitale regionale,,,"294420",52609.000000000000000,,"4","4","4",4. ALPHA -,4. ALPHA -,5. BETA+,5. BETA+
"1562","764",Thailand,"22617",Krung Thep (Bangkok),BANGKOK,13.721964000000000,100.525248000000005,1360.000000000000000,1711.705999999999904,2150.853000000000065,2584.465999999999894,3109.945000000000164,3842.023000000000138,4723.143000000000029,5279.127000000000407,5888.835000000000036,6123.394000000000233,6395.429000000000087,7272.015999999999622,8269.045000000000073,9402.771000000000640,10539.415000000000873,11391.703999999999724,12100.611999999999171,12679.613999999999578,"0","0","0","0","0",19.410000000000000,"1",1489.924999999999955,,,OUI,Capitale,,Commission economique et sociale pour l'Asie et le Pacifique (ONU),"306765",19705.000000000000000,500741.000000000000000,"1","1","1",4. ALPHA -,4. ALPHA -,4. ALPHA -,3. ALPHA
"1514","724",Spain,"22525",Barcelona,BARCELONA,41.388790000000000,2.158990000000000,1809.390000000000100,2102.798999999999978,2467.925999999999931,2929.523000000000138,3482.047000000000025,3679.139000000000124,3836.760999999999967,3969.014000000000124,4100.807999999999993,4226.951000000000022,4355.425000000000182,4612.350000000000364,4933.547999999999774,5276.918999999999869,5585.555999999999585,5733.247000000000298,5811.895999999999731,5868.912000000000262,"0","0","0","0","0",8.359999999999999,"2",2180.382000000000062,47513.000000000000000,,NON,Capitale regionale,,,"171032",36157.000000000000000,,,,,,,,
"204","156",China,"20464",Beijing,BEIJING,39.907499999999999,116.397229999999993,1671.365000000000009,2364.625000000000000,3900.440999999999804,4582.016999999999825,4426.045000000000073,4827.972999999999956,5366.372000000000298,6017.488000000000284,6787.737000000000080,8355.147999999999229,10285.091000000000349,12991.291999999999462,16441.252000000000407,18421.198000000000320,20462.610000000000582,22596.455000000001746,24281.913000000000466,25365.919999999998254,"79459","11293","2","2","125",,"3",,,"95786442",OUI,Capitale,,,"506137",23390.000000000000000,,"57","56","53",5. BETA+,2. ALPHA +,2. ALPHA +,2. ALPHA +
"622","170",Colombia,"20837",Bogotá,BOGOTA,4.609710000000000,-74.081750000000000,630.315000000000055,894.187000000000012,1268.644999999999982,1779.758000000000038,2383.425000000000182,3040.465000000000146,3525.153999999999996,4086.775000000000091,4740.448000000000320,5488.070999999999913,6329.384000000000015,7299.095000000000255,8417.704999999999927,9707.745999999999185,10978.360000000000582,11795.828999999999724,12343.363999999999578,12753.324000000000524,"0","0","0","0","0",1.210000000000000,"0",,,,NON,Capitale,,,"159850",17497.000000000000000,103828.399999999994179,"0","0","0",6. BETA,6. BETA,4. ALPHA -,4. ALPHA -
"1687","840",United States of America,"22939",Boston,BOSTON,42.347918999999997,-71.064530000000005,2550.818000000000211,2680.181000000000040,2817.994999999999891,3000.275000000000091,3186.722999999999956,3233.054999999999836,3281.045999999999822,3348.643000000000029,3428.371000000000095,3725.835999999999785,4036.112999999999829,4109.770000000000437,4184.792000000000371,4261.184000000000196,4308.634000000000015,4395.505000000000109,4581.100000000000364,4778.453999999999724,"56971","15966","3","3","313",2.210000000000000,"0",,,,NON,Capitale regionale,,,"360110",76204.000000000000000,,"4","3","4",6. BETA,4. ALPHA -,5. BETA+,5. BETA+
"75","56",Belgium,"20144",Bruxelles-Brussel,BRUXELLES,50.846735000000002,4.349919000000000,1414.671000000000049,1449.246000000000095,1484.675999999999931,1524.767000000000053,1567.634999999999991,1610.209000000000060,1653.779999999999973,1676.194999999999936,1695.478000000000065,1714.983999999999924,1782.747000000000071,1853.146999999999935,1926.347999999999956,2002.441000000000031,2080.788000000000011,2141.514999999999873,2181.922999999999774,2214.690999999999804,"0","0","0","0","0",,"3",,,,OUI,Capitale,Union Europeenne,,"254327",46298.000000000000000,,"1","0","0",3. ALPHA,3. ALPHA,3. ALPHA,3. ALPHA
"761","348",Hungary,"21138",Budapest,BUDAPEST,47.498010000000001,19.039909999999999,1617.845000000000027,1713.551999999999907,1811.119999999999891,1877.915999999999940,1945.953999999999951,2004.807999999999993,2057.204000000000178,2035.788000000000011,2005.208000000000084,1893.107999999999947,1787.247000000000071,1755.959000000000060,1734.397999999999911,1745.894000000000005,1768.073000000000093,1782.242999999999938,1785.664999999999964,1784.199000000000069,"0","0","0","0","0",,"1",,,,OUI,Capitale,,,"97957",34519.000000000000000,28934.599999999998545,"0","0","0",5. BETA+,5. BETA+,5. BETA+,4. ALPHA -
"24","32",Argentina,"20058",Buenos Aires,BUENOS AIRES,-34.605083000000000,-58.400368000000000,5166.140000000000327,5910.270999999999731,6761.837000000000444,7548.511000000000422,8416.170000000000073,9143.218999999999141,9919.781000000000859,10523.441999999999098,11147.566000000000713,11806.406999999999243,12503.870999999999185,13329.540000000000873,14245.870999999999185,14705.532999999999447,15153.728999999999360,15752.274999999999636,16456.115000000001601,17127.741000000001804,"0","0","0","0","0",1.850000000000000,"0",,,,OUI,Capitale,,,"315885",23606.000000000000000,45986.099999999998545,"0","0","0",4. ALPHA -,4. ALPHA -,4. ALPHA -,3. ALPHA
"1694","840",United States of America,"22956",Chicago,CHICAGO,41.850029999999997,-87.650049999999993,4999.060000000000400,5564.573000000000320,6183.153000000000247,6638.873999999999796,7105.798999999999978,7160.444999999999709,7216.189999999999600,7285.121000000000095,7373.694999999999709,7838.717999999999847,8315.244000000000597,8464.183999999999287,8615.834000000000742,8770.200999999999112,8865.009000000000015,9042.164000000000669,9423.671000000000276,9829.631999999999607,"31162","6735","2","2","36",2.460000000000000,"0",,,"79828183",NON,,,,"563188",58861.000000000000000,,"11","11","8",3. ALPHA,3. ALPHA,3. ALPHA,3. ALPHA
"808","356",India,"21228",Delhi,DELHI,28.666670000000000,77.216669999999993,1369.368999999999915,1781.624000000000024,2282.961999999999989,2845.041999999999916,3530.693000000000211,4436.385000000000218,5587.014000000000124,7225.757999999999811,9384.209000000000742,12138.233000000000175,15691.898999999999432,18691.330000000001746,21987.895000000000437,25865.875000000000000,30290.936000000001513,34665.569000000003143,38938.697000000000116,43345.059000000001106,"0","0","0","0","0",,"3",,,"63451503",NON,Capitale,,,"293637",12747.000000000000000,,,,,,,,
"1635","784",United Arab Emirates,"22635",Dubayy (Dubai),DUBAI,25.272061000000001,55.311264999999999,20.000000000000000,25.905999999999999,33.558999999999997,43.466000000000001,72.879999999999995,165.700999999999993,254.360999999999990,344.610999999999990,472.701000000000022,649.754999999999995,906.971000000000004,1267.755000000000109,1874.729000000000042,2401.067000000000007,2878.344000000000051,3094.643000000000029,3314.985000000000127,3526.253999999999905,"0","0","0","0","0",14.869999999999999,"0",15736.144000000000233,173973.000000000000000,"88242099",OUI,Capitale,,,"82867",24866.000000000000000,93760.000000000000000,,,,,,,
"1021","372",Ireland,"21542",Dublin,DUBLIN,53.333060000000003,-6.248890000000000,626.130999999999972,647.022000000000048,661.201999999999998,723.149000000000001,771.082999999999970,833.052999999999997,903.490999999999985,920.037000000000035,916.385999999999967,946.470000000000027,988.538999999999987,1037.261999999999944,1100.238000000000056,1162.823000000000093,1228.179000000000087,1299.108999999999924,1374.007000000000062,1455.003999999999905,"0","0","0","0","0",5.510000000000000,"0",2483.362000000000080,,,NON,Capitale,,,"90137",51319.000000000000000,110154.399999999994179,"0","4","4",4. ALPHA -,4. ALPHA -,4. ALPHA -,4. ALPHA -
"737","276",Germany,"204332",Frankfurt am Main,FRANCFORT,50.116669999999999,8.683330000000000,532.413000000000011,594.936000000000035,668.441000000000031,676.951000000000022,669.259000000000015,649.964000000000055,631.219000000000051,597.493000000000052,639.975999999999999,651.235999999999990,645.183999999999969,649.381999999999948,681.370000000000005,727.366999999999962,777.155999999999949,803.758000000000038,813.634000000000015,821.120999999999981,"0","0","0","0","0",,"0",,,"64500386",OUI,,Union Europeenne,,"229985",51645.000000000000000,1755172.800000000046566,"3","3","3",3. ALPHA,3. ALPHA,3. ALPHA,3. ALPHA
"283","156",China,"20517",Guangzhou,GUANGZHOU,23.125457000000001,113.257373999999999,1048.974999999999909,1155.063000000000102,1271.913999999999987,1400.510999999999967,1542.151000000000067,1698.115999999999985,1869.904999999999973,2355.565999999999804,3245.990999999999985,5035.338999999999942,7812.007999999999811,9055.056000000000495,10278.197000000000116,11694.881999999999607,13301.531999999999243,14878.691000000000713,16024.165000000000873,16740.973000000001775,"0","0","0","0","0",,"0",18311.000000000000000,544374.000000000000000,"65887473",NON,Capitale regionale,,,"380264",29014.000000000000000,,"3","3","3",10. GAMMA-,5. BETA+,4. ALPHA -,3. ALPHA
"610","344",China ( Hong Kong SAR),"21137",Hong Kong,HONG KONG,22.279588000000000,114.188697000000005,1681.846000000000004,2121.568000000000211,2611.539000000000215,3015.434999999999945,3397.838999999999942,3799.487000000000080,4496.587999999999738,4959.720999999999549,5753.523000000000138,6140.100999999999658,6663.654000000000451,6827.761000000000422,7025.220999999999549,7245.701000000000022,7547.652000000000044,7768.510000000000218,7987.248999999999796,8126.740999999999985,"46399","16916","3","0","0",8.859999999999999,"0",19813.000000000000000,256730.000000000000000,"72664075",OUI,Capitale regionale,,,"416047",57244.000000000000000,3819215.399999999906868,"7","6","8",2. ALPHA +,2. ALPHA +,2. ALPHA +,2. ALPHA +
"1724","840",United States of America,"23014",Houston,HOUSTON,29.760192700000001,-95.369389600000005,709.057999999999993,904.366999999999962,1150.692999999999984,1396.178000000000111,1693.123000000000047,2030.215999999999894,2423.766000000000076,2658.135000000000218,2921.851000000000113,3353.378000000000156,3847.050000000000182,4375.256000000000313,4976.162000000000262,5659.597999999999956,6370.703999999999724,6889.802999999999884,7253.756000000000313,7569.220000000000255,"6554","1835","1","2","0",,"0",,224968.964673600014066,,NON,,,,"483184",74926.000000000000000,,"7","5","6",7. BETA-,5. BETA+,5. BETA+,4. ALPHA -
"1600","792",Turkey,"22691",Istanbul,ISTANBUL,41.013800000000003,28.949700000000000,967.496999999999957,1248.709000000000060,1453.353000000000065,2001.192000000000007,2772.094999999999800,3600.331999999999880,4397.037000000000262,5407.296999999999571,6552.159999999999854,7665.403000000000247,8743.868000000000393,10465.693999999999505,12584.885000000000218,14126.772000000000844,15190.335999999999331,16236.702999999999520,17124.240000000001601,17986.296999999998661,"0","0","0","0","0",9.160000000000000,"0",,,"64119374",OUI,Capitale,,,"348721",24867.000000000000000,149263.600000000005821,"1","1","1",5. BETA+,4. ALPHA -,3. ALPHA,3. ALPHA
"955","360",Indonesia,"21454",Jakarta,JAKARTA,-6.211831000000000,106.841645999999997,1452.000000000000000,1972.105999999999995,2678.739999999999782,3296.963999999999942,3915.405999999999949,4813.131999999999607,5984.256000000000313,7009.029999999999745,8174.756000000000313,8321.858000000000175,8389.759000000000015,8988.406000000000859,9625.578999999999724,10173.388000000000829,10770.486999999999171,11634.077999999999520,12686.755999999999403,13688.320999999999913,"0","0","0","0","0",,"0",,,"63015620",OUI,Capitale,Association des Nations de l’Asie du Sud-Est,,"321315",9984.000000000000000,486765.900000000023283,"1","1","1",4. ALPHA -,4. ALPHA -,3. ALPHA,3. ALPHA
"1502","710",South Africa,"22486",Johannesburg,JOHANNESBURG,-26.202269999999999,28.043630000000000,910.549999999999955,1022.265999999999963,1147.724999999999909,1288.499000000000024,1443.041999999999916,1497.733999999999924,1554.516000000000076,1625.086999999999989,1878.673999999999978,2421.063000000000102,3045.543000000000120,3623.047999999999774,4249.354000000000269,4984.804000000000087,5782.747000000000298,6444.574999999999818,6978.417000000000371,7461.163999999999760,"0","0","0","0","0",4.570000000000000,"0",,,,NON,Capitale regionale,,,"82918",16370.000000000000000,865327.699999999953434,"0","0","0",5. BETA+,4. ALPHA -,3. ALPHA,4. ALPHA -
"1133","458",Malaysia,"206411",Kuala Lumpur,KUALA LUMPUR,3.141200000000000,101.686530000000005,261.528000000000020,299.730000000000018,343.526999999999987,393.692000000000007,451.201000000000022,660.984000000000037,971.445000000000050,1427.426999999999907,2097.661000000000058,2974.960999999999785,4176.469000000000051,4926.787000000000262,5809.953000000000429,6851.430999999999585,7996.829999999999927,9000.280000000000655,9805.248999999999796,10466.823000000000320,"0","0","0","0","0",11.279999999999999,"0",,,,OUI,Capitale,,,"171772",28076.000000000000000,398018.700000000011642,"1","1","1",4. ALPHA -,3. ALPHA,3. ALPHA,3. ALPHA
"1364","620",Portugal,"22167",Lisboa (Lisbon),LISBONNE,38.716859999999997,-9.139867000000001,1303.549999999999955,1404.758000000000038,1513.855999999999995,1657.002999999999929,1816.576999999999998,2103.347000000000207,2448.927999999999884,2518.253000000000156,2537.262999999999920,2599.860999999999876,2672.447999999999865,2741.554000000000087,2811.563000000000102,2883.360000000000127,2956.878999999999905,3028.268000000000029,3084.949000000000069,3124.833000000000084,"0","0","0","0","0",,"1",,,,NON,Capitale,,,"96282",32434.000000000000000,,"0","0","0",5. BETA+,5. BETA+,4. ALPHA -,4. ALPHA -
"1649","826",United Kingdom,"22860",London,LONDRES,51.508530000000000,-0.125740000000000,8360.846999999999753,8277.907999999999447,8195.769000000000233,7868.506000000000313,7509.404999999999745,7124.382999999999811,6751.195999999999913,6740.953999999999724,6794.399999999999636,7029.507999999999811,7272.819000000000415,7501.216999999999643,8044.432999999999993,8661.380999999999403,9304.015999999999622,9840.742000000000189,10228.050999999999476,10556.486000000000786,"82442","42586","4","3","70",19.059999999999999,"4",1388.282999999999902,50380.000000000000000,"78014598",OUI,Capitale,,Organisation maritime internationale (ONU),"835658",57157.000000000000000,3637996.000000000000000,"22","21","17",1. ALPHA ++,1. ALPHA ++,1. ALPHA ++,1. ALPHA ++
"1742","840",United States of America,"23052",Los Angeles-Long Beach-Santa Ana,LOS ANGELES,34.031655999999998,-118.241715999999997,4045.514000000000124,5154.301000000000386,6529.637999999999920,7407.634000000000015,8377.684999999999491,8925.518000000000029,9511.567999999999302,10181.172000000000480,10883.429000000000087,11338.889999999999418,11798.344999999999345,11977.856999999999971,12160.150999999999840,12345.218999999999141,12446.596999999999753,12677.558999999999287,13209.244000000000597,13778.153000000000247,"77229","16240","3","3","25",5.680000000000000,"0",15631.953999999999724,127397.077210000003106,"84557968",OUI,,,,"860452",65082.000000000000000,,"3","2","1",3. ALPHA,3. ALPHA,3. ALPHA,3. ALPHA
,"442",Luxembourg,"21790",Luxembourg,LUXEMBOURG,49.611669999999997,6.130000000000000,,,119.751999999999995,,,,,,,,,,,,120.000000000000000,,,,"0","0","0","0","0",,"1",,,,NON,Capitale,,,"62464",52703.000000000000000,49482.599999999998545,"1","1","1",7. BETA-,5. BETA+,4. ALPHA -,4. ALPHA -
"1518","724",Spain,"22549",Madrid,MADRID,40.416499999999999,-3.702560000000000,1699.751999999999953,2017.611000000000104,2391.543000000000120,2898.119000000000142,3520.860999999999876,3890.208000000000084,4253.189999999999600,4354.613000000000284,4413.869999999999891,4687.690999999999804,5014.411000000000058,5383.402000000000044,5787.391999999999825,6221.449999999999818,6617.512999999999920,6810.529999999999745,6907.132999999999811,6975.016999999999825,"0","0","0","0","0",,"2",,,,OUI,Capitale,,Organisation mondiale du tourisme (ONU),"262335",39288.000000000000000,723691.000000000000000,"5","5","6",3. ALPHA,3. ALPHA,3. ALPHA,3. ALPHA
"1348","608",Philippines,"22109",Manila,MANILLE,14.604200000000001,120.982200000000006,1543.665999999999940,1871.605000000000018,2273.733999999999924,2828.882999999999811,3534.309000000000196,4999.302999999999884,5954.719000000000051,6887.920000000000073,7972.798999999999978,9401.254999999999200,9957.961999999999534,10750.752000000000407,11887.189000000000306,12860.058000000000902,13923.451999999999316,15230.558999999999287,16841.340000000000146,18649.421999999998661,"0","0","0","0","0",,"1",4427.386000000000422,61069.000000000000000,,NON,Capitale,,,"182842",14222.000000000000000,258155.700000000011642,"0","0","0",5. BETA+,5. BETA+,4. ALPHA -,4. ALPHA -
"46","36",Australia,"206168",Melbourne,MELBOURNE,-37.814000000000000,144.963320000000010,1331.965999999999894,1574.413999999999987,1851.220000000000027,2067.735000000000127,2499.108999999999924,2732.059000000000196,2839.018999999999778,2968.592999999999847,3154.313999999999851,3282.619000000000142,3360.804000000000087,3572.503999999999905,3932.257000000000062,4429.930999999999585,4967.733000000000175,5391.886000000000422,5736.197000000000116,6055.587999999999738,"94758","36317","2","2","33",,"1",2615.592000000000098,,,NON,Capitale regionale,,,"178392",40244.000000000000000,,"2","3","3",4. ALPHA -,4. ALPHA -,4. ALPHA -,3. ALPHA
